Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
java.awt.event.ActionListener,ActionListener,java.awt.event.ActionListener,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1177,2,676
java.awt.peer.LabelPeer,LabelPeer,java.awt.peer.LabelPeer,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1177,3,672
java.nio.channels.spi.AbstractSelectableChannel,AbstractSelectableChannel,java.nio.channels.spi.AbstractSelectableChannel,14,1,7,3,0,2,0,0,3,6,0,5,0,0,3,0,4,7,650,20,52
java.util.concurrent.ConcurrentSkipListMap$ComparableUsingComparator,ComparableUsingComparator,java.util.concurrent.ConcurrentSkipListMap$ComparableUsingComparator,1,1,1,0,0,0,0,0,2,2,0,0,0,0,2,2,2,4,642,4,17
java.awt.SecondaryLoop,SecondaryLoop,java.awt.SecondaryLoop,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,672
java.lang.ProcessBuilder$NullOutputStream,NullOutputStream,java.lang.ProcessBuilder$NullOutputStream,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,4,627,2,5
java.text.spi.BreakIteratorProvider,BreakIteratorProvider,java.text.spi.BreakIteratorProvider,4,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,3,624,4,681
java.util.TimeZone$DisplayNames,DisplayNames,java.util.TimeZone$DisplayNames,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,2,3,620,2,3076
java.lang.Thread$Caches,Caches,java.lang.Thread$Caches,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,1,1,4,620,2,3075
java.awt.Component$ProxyCapabilities,ProxyCapabilities,java.awt.Component$ProxyCapabilities,1,2,0,0,1,0,0,0,1,2,0,1,0,0,1,0,1,6,1177,3,672
java.lang.ref.Reference$ReferenceHandler,ReferenceHandler,java.lang.ref.Reference$ReferenceHandler,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,620,1,3076
java.awt.image.renderable.RenderedImageFactory,RenderedImageFactory,java.awt.image.renderable.RenderedImageFactory,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1178,1,2
java.awt.TextField$AccessibleAWTTextField,AccessibleAWTTextField,java.awt.TextField$AccessibleAWTTextField,1,1,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0,3,1177,3,672
sun.security.jca.GetInstance$Instance,Instance,sun.security.jca.GetInstance$Instance,1,2,1,0,0,0,0,0,2,2,2,0,0,0,2,0,1,3,623,3,9
java.util.zip.DataFormatException,DataFormatException,java.util.zip.DataFormatException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,3077
sun.java2d.DisposerRecord,DisposerRecord,sun.java2d.DisposerRecord,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,678
javax.swing.JComponent,JComponent,javax.swing.JComponent,189,1,119,19,18,0,0,0,44,71,5,60,3,0,44,9,17,54,1293,262,73
java.awt.font.CharArrayIterator,CharArrayIterator,java.awt.font.CharArrayIterator,12,2,10,0,0,0,0,0,0,3,0,3,0,0,0,1,1,2,620,16,2
java.awt.font.GlyphJustificationInfo,GlyphJustificationInfo,java.awt.font.GlyphJustificationInfo,1,1,0,1,1,0,0,0,13,13,13,0,0,0,13,0,0,1,620,14,672
com.sun.beans.finder.BeanInfoFinder,BeanInfoFinder,com.sun.beans.finder.BeanInfoFinder,5,1,2,1,1,0,0,0,1,1,0,1,0,0,1,1,1,6,1182,6,1
java.rmi.activation.ActivationDesc,ActivationDesc,java.rmi.activation.ActivationDesc,7,4,7,0,0,0,0,0,1,6,0,6,0,0,1,1,1,5,640,14,8
java.util.TreeMap$NavigableSubMap$SubMapIterator,SubMapIterator,java.util.TreeMap$NavigableSubMap$SubMapIterator,5,1,1,0,0,0,0,0,2,5,0,0,0,0,2,1,2,4,645,11,34
