Id,Connections
java.util.HashMap$ValueIterator,14
sun.reflect.generics.tree.ReturnType,19
java.util.AbstractList$1,36
java.security.cert.Certificate,25
java.nio.file.WatchKey,38
java.lang.ClassNotFoundException,64
java.net.MalformedURLException,37
sun.misc.MetaIndex,33
java.lang.IllegalArgumentException,39
java.net.InetAddressImpl,13
sun.util.locale.LocaleExtensions,12
java.io.Externalizable,26
sun.util.locale.ParseStatus,10
sun.util.locale.Extension,10
java.util.Locale,33
java.math.BigInteger,29
sun.reflect.ReflectionFactory$GetReflectionFactoryAction,17
java.util.regex.Pattern$SliceNode,6
sun.reflect.generics.tree.FloatSignature,13
java.util.regex.Pattern$Single,6
sun.net.www.MessageHeader$HeaderIterator,14
java.lang.SecurityException,32
java.io.FileDescriptor,40
java.util.Vector,32
java.nio.file.FileSystem,36
java.util.regex.Pattern$SingleI,6
java.io.ObjectStreamClass$FieldReflectorKey,16
java.util.regex.Pattern$Neg,6
java.security.SignatureException,22
java.util.Hashtable$ValueCollection,34
sun.util.calendar.CalendarDate,12
java.util.regex.Pattern$BackRef,6
java.math.MathContext,8
java.util.Vector$Itr,30
sun.util.LocaleServiceProviderPool$NullProvider,11
java.security.CodeSource,33
java.security.PrivilegedAction,18
java.nio.charset.CoderResult,11
java.util.regex.Pattern$UnixDollar,6
java.security.Principal,37
sun.net.www.MessageHeader,15
java.text.ParseException,9
sun.util.locale.BaseLocale$Key,13
java.lang.String,245
java.security.Key,25
java.io.PushbackInputStream,35
sun.util.calendar.BaseCalendar$Date,10
java.util.zip.ZipConstants,33
java.util.ListIterator,47
java.lang.InterruptedException,42
sun.util.locale.InternalLocaleBuilder$1,9
java.util.regex.Pattern$NotBehind,6
java.lang.reflect.Constructor,19
java.io.StreamCorruptedException,34
java.util.AbstractList,39
sun.util.locale.StringTokenIterator,11
java.security.PermissionCollection,32
java.util.jar.Manifest,38
java.util.concurrent.Future,38
sun.util.locale.LocaleSyntaxException,9
java.util.regex.Pattern$CharPropertyNames,9
java.security.cert.CertPath,24
java.util.zip.ZipEntry,32
java.util.regex.Pattern$Begin,6
sun.reflect.generics.tree.IntSignature,13
java.util.regex.Pattern,66
